Timestamp,Location,Branch Name,Category,Gender,Brand,Size,Available Stock,Sold Stock,Total Items,Target,Price,Restock Needed,Season Month
2024-05-10 19:11:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XS,81,16,97,21,2841,0,May
2024-05-03 18:21:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,S,14,30,44,50,6136,36,May
2024-05-01 12:39:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,M,13,35,48,55,5366,42,May
2024-05-12 19:45:24,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,L,57,32,89,52,5676,0,May
2024-05-16 11:50:30,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XL,31,43,74,63,7212,32,May
2024-05-10 12:01:24,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Max,XXL,64,45,109,65,2345,1,May
2024-05-27 14:36:49,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XS,88,20,108,30,7953,0,May
2024-05-05 17:39:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,S,15,18,33,23,780,8,May
2024-05-13 10:24:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,M,58,29,87,39,2816,0,May
2024-05-10 18:27:51,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,L,90,12,102,17,6260,0,May
2024-05-28 18:32:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XL,18,33,51,53,2312,35,May
2024-05-05 16:14:12,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Allen Solly,XXL,29,19,48,24,982,0,May
2024-05-26 11:09:23,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XS,84,36,120,56,789,0,May
2024-05-26 20:18:30,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,S,22,28,50,38,7965,16,May
2024-05-21 20:48:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,M,10,17,27,22,7002,12,May
2024-05-22 11:39:10,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,L,64,19,83,24,4153,0,May
2024-05-12 15:47:09,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XL,83,17,100,22,5415,0,May
2024-05-21 20:03:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",T-shirts,Men,Levi's,XXL,73,9,82,11,4200,0,May
2024-08-15 11:33:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XS,78,13,91,18,1620,0,August
2024-08-23 19:29:34,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,S,17,32,49,52,4825,35,August
2024-08-02 13:36:35,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,M,55,18,73,23,674,0,August
2024-08-25 20:07:41,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,L,55,15,70,20,3202,0,August
2024-08-05 14:27:21,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XL,94,33,127,53,5206,0,August
2024-08-11 12:34:33,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Max,XXL,28,26,54,36,7080,8,August
2024-08-03 16:24:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XS,35,36,71,56,3081,21,August
2024-08-24 15:34:17,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,S,54,44,98,64,5300,10,August
2024-08-12 20:57:31,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,M,34,28,62,38,3125,4,August
2024-08-04 14:45:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,L,66,34,100,54,3290,0,August
2024-08-05 20:27:14,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XL,42,5,47,7,7765,0,August
2024-08-02 10:54:29,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Levi's,XXL,54,32,86,52,6491,0,August
2024-08-13 11:39:45,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XS,39,24,63,34,6316,0,August
2024-08-11 12:49:28,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,S,40,7,47,9,4734,0,August
2024-08-11 14:38:05,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,M,60,45,105,65,7098,5,August
2024-08-26 10:57:07,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,L,48,24,72,34,4308,0,August
2024-08-18 10:55:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XL,40,23,63,33,5868,0,August
2024-08-13 14:44:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Jeans,Men,Lee Cooper,XXL,56,28,84,38,4831,0,August
2024-11-18 19:37:58,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XS,77,46,123,66,6446,0,November
2024-01-12 14:38:22,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,S,18,50,68,75,4867,57,January
2024-12-06 20:47:11,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,M,11,40,51,60,7435,49,December
2024-08-04 15:54:19,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,L,46,48,94,68,5634,22,August
2024-06-17 17:42:03,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XL,51,21,72,31,2412,0,June
2024-11-27 11:49:54,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Max,XXL,41,13,54,18,3730,0,November
2024-12-17 12:23:37,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XS,80,22,102,32,3991,0,December
2024-07-14 17:20:18,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,S,31,36,67,56,1144,25,July
2024-06-10 14:42:53,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,M,73,5,78,7,3070,0,June
2024-08-07 12:20:26,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,L,19,27,46,37,2545,18,August
2024-03-14 12:53:15,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XL,25,48,73,68,3011,43,March
2024-03-19 12:42:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Peter England,XXL,22,34,56,54,2615,32,March
2024-09-27 16:19:01,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XS,32,10,42,15,7225,0,September
2024-02-23 16:38:50,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,S,97,15,112,20,3814,0,February
2024-09-13 14:16:39,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,M,62,27,89,37,564,0,September
2024-06-13 18:01:55,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,L,36,11,47,16,3439,0,June
2024-01-20 11:22:48,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XL,59,46,105,66,1506,7,January
2024-11-26 19:57:32,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Shirts,Men,Raymond,XXL,11,22,33,32,720,21,November
2024-05-02 18:38:27,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XS,23,6,29,8,5114,0,May
2024-05-12 13:54:47,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,S,35,36,71,56,3659,21,May
2024-05-22 18:51:18,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,M,22,24,46,34,3531,12,May
2024-05-24 11:47:23,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,L,56,17,73,22,1821,0,May
2024-05-14 19:59:14,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XL,94,9,103,11,1520,0,May
2024-05-10 15:35:38,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Max,XXL,72,29,101,39,6170,0,May
2024-05-22 12:44:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,XS,30,39,69,59,2681,29,May
2024-05-28 20:49:43,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,S,66,34,100,54,7213,0,May
2024-05-27 16:32:00,"T. Nagar, Chennai","Max Showroom - T. Nagar, Chennai",Dresses,Women,Biba,M,93,19,112,24,3152,0,May
